JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,KECEPATAN TRANSAKSI,BIAYA BAHAN BAKU,PANJANG PRODUK,BERAT PRODUK,HARGA PRODUK
SILVER BRACELETS,BSTL 107,0,0,,42.816,8,448,71.36
SILVER BRACELETS,BSTL 107,0,0,6,44.736,8.5,466,74.56
SILVER BRACELETS,BSTL 107,0,0,3,48,9,250,80
SILVER BRACELETS,BTRP 610,0,0,3,45.888,8,239,76.48
SILVER BRACELETS,BTRP 610,0,0,6,48.48,8.5,505,80.8
SILVER BRACELETS,BTOV 552,0,0,6,39.456,7,411,65.76
SILVER BRACELETS,BTOV 552,0,0,6,41.952,7.5,437,69.92
SILVER BRACELETS,BTOV 552,0,0,2,44.64,8,155,74.4
SILVER BRACELETS,BSTR 46,0,0,12,17.328,7,361,28.88
SILVER BRACELETS,BSTR 46,0,0,12,18.576,7.5,387,30.96
SILVER BRACELETS,BSTR 46,0,0,6,19.776,8,206,32.96
SILVER BRACELETS,BSRK 560,0,0,6,22.752,7,237,37.92
SILVER BRACELETS,BSRK 560,0,0,6,24.48,7.5,255,40.8
SILVER BRACELETS,BTOV 562,0,0,6,23.904,7,249,39.84
SILVER BRACELETS,BTOV 562,0,0,6,25.344,7.5,264,42.24
SILVER BRACELETS,BTOV 562,0,0,3,27.072,8,141,45.12
SILVER BRACELETS,BSRK 501,0,0,8,16.848,7,234,28.08
SILVER BRACELETS,BSRK 501,0,0,8,18,7.5,250,30
SILVER BRACELETS,BCBP 800,0,0,6,38.496,8,401,64.16
SILVER BRACELETS,BCBP 800,0,0,6,41.184,8.5,429,68.64
SILVER BRACELETS,8SOK 45,0,0,10,18.546,7,322,30.91
SILVER BRACELETS,BSOK 45,0,0,10,19.644,7.5,341,32.74
SILVER BRACELETS,BSOK 45,0,0,5,21.426,8,186,35.71
SILVER BRACELETS,BCRK 775,0,0,6,26.688,7,278,44.48
SILVER BRACELETS,BCRK 775,0,0,6,28.512,7.5,297,47.52
SILVER BRACELETS,BCHK 1041,0,0,6,60.576,8,631,100.96
SILVER BRACELETS,BCHK 1041,0,0,6,65.28,8.5,680,108.8
SILVER BRACELETS,BCHK 1041,0,0,1,68.544,9,119,114.24
SILVER BRACELETS,BCBW 11T,0,0,7,27.072,7.5,329,45.12
SILVER BRACELETS,BCBW 11T,0,0,6,28.704,8,299,47.84
SILVER BRACELETS,BSED 1151,0,0,6,36.192,8,299,60.32
SILVER BRACELETS,BSED 1151,0,0,6,38.208,8.5,398,63.68
SILVER BRACELETS,BSTR 6831,0,0,6,30.24,7.5,315,50.4
SILVER BRACELETS,BSTR 6831,0,0,6,32.352,8,337,53.92
SILVER BRACELETS,BSTR 6831,0,0,6,33.504,8.5,349,55.84
SILVER BRACELETS,BSTR 683,0,0,6,28.128,7,293,46.88
SILVER BRACELETS,BSTR 683,0,0,6,30.048,7.5,313,50.08
SILVER BRACELETS,BSTR 683,0,0,6,31.68,8,330,52.8
SILVER BRACELETS,BSER 1016,0,0,3,73.92,8.5,385,123.2
SILVER BRACELETS,BSHK 942,0,0,3,45.312,8.5,236,75.52
SILVER BRACELETS,BSHK 942,0,0,3,48.768,8.5,254,81.28
SILVER BRACELETS,BSFK 570,0,0,6,21.792,7,227,36.32
SILVER BRACELETS,BSFK 570,0,0,6,23.232,7.5,242,38.72
SILVER BRACELETS,BSFK 570,0,0,3,25.152,8,131,41.92
SILVER BRACELETS,BCBP 68,0,0,6,28.224,7,294,47.04
SILVER BRACELETS,BCBP 68,0,0,6,30.048,7.5,313,50.08
SILVER BRACELETS,BCBP 68,0,0,6,31.776,8,331,52.96
SILVER BRACELETS,BCBP 68,0,0,6,33.696,8.5,351,56.16
SILVER BRACELETS,BCHK 1040,0,0,3,61.248,8,319,102.08
SILVER BRACELETS,BCHK 1040,0,0,3,65.088,8.5,339,108.48
SILVER BRACELETS,BCHK 1040,0,0,1,67.968,9,118,113.28
SILVER BRACELETS,BCHK 1040,0,0,1,70.848,9.5,123,118.08
SILVER BRACELETS,BSFK 5701-S,0,57,3,52.47,7,131,87.45
SILVER BRACELETS,BSFK 5701-S,0,57,4,54.198,7.5,186,90.33
SILVER BRACELETS,BKLP 813-S,0,11,2,43.884,7.5,64,73.14
SILVER BRACELETS,BKLP 813-S,0,11,2,53.334,7.5,64,88.89
SILVER BRACELETS,BKLP 813-S,0,11,2,44.484,7.5,64,74.14
SILVER NECKLECES,NKLP 813-S,0,8,2,47.232,17,72,78.72
SILVER NECKLECES,NKLP 813-S,0,8,2,48.57,17,72,80.95
SILVER NECKLECES,NKLP 813-S,0,8,2,48.06,17,72,80.1
SILVER NECKLECES,NBKL 416-S,0,6,6,49.752,16,197,82.92
SILVER NECKLECES,NCRK 775,0,0,3,57.408,16,299,95.68
SILVER NECKLECES,NCRK 775,0,0,3,63.168,18,329,105.28
SILVER EARINGS,EBGW 970,0,0,6,8.58,18,54,14.3
SILVER EARINGS,EBGW 01,0,0,6,10.14,18,78,16.9
SILVER BRACELETS,BLKL 750,0,0,1,22.794,9,21,37.99
SILVER BRACELETS,BSTR 5705-S,0,75,6,53.244,7,240,88.74
SILVER BRACELETS,BSTR 5705-S,0,75,6,54.972,7.5,258,91.62
SILVER BRACELETS,BCBP 4611-S,0,12,12,37.728,7,372,62.88
SILVER BRACELETS,BCBP 4611-S,0,12,12,37.728,7,372,62.88
SILVER BRACELETS,BCBP 4611-S,0,12,12,38.88,7.5,396,64.8
SILVER BRACELETS,BCBP 4611-S,0,12,12,38.88,7.5,396,64.8
SILVER BRACELETS,BCBP 4611-S,0,12,6,40.032,8,210,66.72
SILVER BRACELETS,BCBP 4611-S,0,12,6,40.032,8,210,66.72
SILVER BRACELETS,BCVJ 831-S,0,1,3,43.356,7,96,72.26
SILVER BRACELETS,BCVJ 831-S,0,1,3,44.508,7.5,102,74.18
